transaction_id,model_best_action,true_best_action,match,gap
TXN002548,escalate_to_human,reminder,False,0.03539999999999999
TXN003560,escalate_to_human,discount_offer,False,0.19569999999999999
TXN000242,discount_offer,discount_offer,True,0.0
TXN003659,escalate_to_human,discount_offer,False,0.016900000000000026
TXN001425,retry_link,escalate_to_human,False,0.03420000000000001
TXN000268,escalate_to_human,discount_offer,False,0.14720000000000005
TXN002106,escalate_to_human,discount_offer,False,0.03710000000000002
TXN003313,escalate_to_human,discount_offer,False,0.17859999999999998
TXN000340,escalate_to_human,escalate_to_human,True,0.0
TXN003214,escalate_to_human,escalate_to_human,True,0.0
TXN001353,retry_link,retry_link,True,0.0
TXN003257,retry_link,escalate_to_human,False,0.14790000000000003
TXN003502,escalate_to_human,retry_link,False,0.1954999999999999
TXN001467,retry_link,retry_link,True,0.0
TXN001501,retry_link,reminder,False,0.02410000000000001
TXN002328,escalate_to_human,retry_link,False,0.0577
TXN000803,escalate_to_human,escalate_to_human,True,0.0
TXN002233,retry_link,retry_link,True,0.0
TXN000499,escalate_to_human,discount_offer,False,0.004699999999999996
TXN001816,discount_offer,escalate_to_human,False,0.21259999999999998
TXN000718,escalate_to_human,retry_link,False,0.4653
TXN000023,escalate_to_human,discount_offer,False,0.08279999999999998
TXN000444,escalate_to_human,retry_link,False,0.02739999999999998
TXN001243,retry_link,escalate_to_human,False,0.09910000000000008
TXN003441,retry_link,escalate_to_human,False,0.1301
TXN000229,retry_link,retry_link,True,0.0
TXN000385,escalate_to_human,retry_link,False,0.10050000000000003
TXN002002,escalate_to_human,escalate_to_human,True,0.0
TXN002909,escalate_to_human,discount_offer,False,0.12040000000000001
TXN003888,escalate_to_human,discount_offer,False,0.0736
TXN001679,discount_offer,discount_offer,True,0.0
TXN001092,escalate_to_human,retry_link,False,0.10710000000000003
TXN002629,escalate_to_human,discount_offer,False,0.05449999999999999
TXN001121,escalate_to_human,retry_link,False,0.1103
TXN001668,escalate_to_human,discount_offer,False,0.037800000000000056
TXN000630,escalate_to_human,retry_link,False,0.0748
TXN003929,retry_link,retry_link,True,0.0
TXN001555,escalate_to_human,retry_link,False,0.12820000000000004
TXN000955,escalate_to_human,retry_link,False,0.005599999999999938
TXN001122,escalate_to_human,escalate_to_human,True,0.0
TXN000963,escalate_to_human,discount_offer,False,0.05259999999999998
TXN003964,retry_link,discount_offer,False,0.00019999999999997797
